Municipality,2009,2010,2011,2012,2013,2014,2015,2016
Mthonjaneni,0.0037263800696435887,0.00034494495969793627,0.0003042766597351608,0.019543311402099618,0.025083574012483616,0.16174449859859388,0.16477766495067137,0.18996377398054046
Elundini,0,0.0007775025923411758,0.0009067438294361385,0.0009125933769419526,0.0004110770299363735,0.003446986079947964,0.0016263659003412378,0.003972764857971918
Impendle,0.00047214067923985757,0.0005584377004096485,0.00022278602676215867,0.00012376048845010582,0.0004092566007433682,0.0003857998659747683,9.903062861347866e-05,0.004172366427409503
Gamagara,0.003722675334960947,0.0008010689573587357,0.0012173508459649694,0.0004948774598671809,0.0014949165152628905,0.0025861509968257423,0.0005088160317401934,0.0009955961589678127
Kouga,0.008944837380716568,0.0032194093038144327,0.005897247130839059,0.006178494484731319,0.0021410636898363013,0.0006632327426472588,0.005355806962442366,0.014715491372751386
Greater Letaba,0.002201611755533502,0,0,0.0021983125798524556,0.0010033541752919157,0.003134738909595439,0.0037182049540639074,0.005588808988642625
Renosterberg,0.0011677267133560754,7.084603341256821e-05,0.00038627207792727174,0.0009472185592581452,9.856064470798995e-05,0.00012468821043513793,3.735747386402312e-05,3.978286572623819e-06
Abaqulusi,0.0023508104142262107,0.003883652307245044,0.005556120961983862,0.004615990904703724,0.0055091973501454755,0.01897066224362897,0.00789971780932377,0.013579994698226837
Emakhazeni,0.002826502187337298,0.029022174125415617,0.03275976280409425,0.04089285056774176,0.03453411312078514,0.04549026238306765,0.053287776699391824,0.07832685502803728
Maquassi Hills,0.04183189017156097,0.03887131860089322,0.025990017174303163,0.014111999218265546,0.02669869282808675,0.08033979571384402,0.08182286416895575,0.04243810633365375
eThekwini,0.008281873342018818,0.004197126265702033,0.0067021028700525375,0.005745902787104957,0.0044991768720098035,0.009390337645259646,0.008844693897567623,0.018267623982799568
Greater Taung,0,0,0,0,0.0,0.0,0.0,0.0
Ndlambe,0.0013872115030000986,0.002982583601873223,0.002166577294403723,0.0020112948295552837,0.0016824574023655524,0.001580051186533467,0.0018899063671457188,0.0014620054018837443
Saldanha Bay,0.003973693455324383,0.005962881082690635,0.0050336938727894055,0.0061930992036586426,0.0020624581542399733,0.0028063767125827872,0.004551216493391481,0.03208050888166532
Dannhauser,0.003322027739753158,0.001845491831579893,0.002626999201350306,0.0020093158678929847,0.003332061290329744,0.0038868847002115404,0.005748187076169722,0
Rustenburg,0.0023150217732855025,0.0007554853028244312,0.001181385823308542,0.0035886161700002675,0.0037778740887711164,0.010782109973297855,0.0021947192213140542,0.006451592311408833
Engcobo,0.0009075961182561359,0.001937780057861843,0.0005851436871146049,0.00028379901247488587,0.00020542606064024576,0.00011045350587081466,9.896306327148276e-05,6.319808471123052e-05
Mkhambathini,0.001324209349915937,2.0748762804980543e-05,0.0020300151456243295,0.0013196001724978478,0.0005930033830237896,0.0005644982110634153,0.00037848094352048244,0.000970436736752554
Ephraim Mogale,0.016437709999667382,0.012491295323705362,0.001604339265823119,0.0018662855331329834,0.00640033667266137,0.006864618271950481,0.0085410194338356,0.005878782271831547
Great Kei,0,0.0002860908783767776,0.0001827243504226914,0,0.00037910446310455775,0.0005962954908134985,0.0003106918095902309,0.00029268891566509045
Nkandla,0,0,0,0,0.0,0.0,0.0,0.0
Merafong City,0.0022349509047267634,0.0018684084533826676,0.0018031451937145452,0.005195144116461759,0.003221071854159409,0.00242371334306249,0.00248820619144031,0.01093453107732458
Mhlontlo,0.0010887099529587867,0.0003859327942420988,0.0006366036126440636,0.0005611164551047889,0.0010168950356940739,0.001056103528150827,0.0010945250884750817,0.0018207148113957466
Kamiesberg,0,0,0,2.6694635495010516e-05,1.1280632706005722e-05,2.7771734303476726e-05,7.611391010211754e-05,0.00012712578363265132
Umzimvubu,0.008616814836180332,0.0013923650075934504,0.002997219175569638,0.005734486480089424,0.002339176878594178,0.028444939090957074,0.007060219997376504,0.008103543456253018
Emadlangeni,0.005862433766977028,0.0031547142468842477,0.004680992001933125,0.0024671231565887397,0.0018594396705327602,0.004652680944483869,0.0031775067867112344,0.005357311884310326
Dihlabeng,0.0015528667116623373,0.0006714696943451558,0.0004798606421010217,0.0012174003537191382,0.007571736018345194,0.0460794448782488,0.04757777784570234,0.019345147409270656
Moretele,0,0,0,0,0.0,0.0,0.0,0.0
Makhado,0.007406355405474641,0.006772995162626862,0.0031628844159624168,0.004912956035483687,0.006507608359025993,0.0021758615009077856,0.007599239802579032,0.0012460794517250413
Thaba Chweu,0.00529237124868694,0.008412585193048045,0.006813480595880753,0.003311568003410411,0.0036226040333861963,0.0021516663301446998,0.010583438414841155,0.0071983094644297585
Umdoni,0.00484508057351728,0.00405614829113178,0.005522327605616904,0.0066265031834473595,0.00682505113785471,0.009803695960604509,0.006625589092267178,0.001690991268204118
Ndwedwe,0,0,0,0,0.0,0.0,0.0,0.0
Siyancuma,0.001173437789290552,0.0013807688319177238,0.000676523178990162,0.000608475188017914,0.00041757690572968403,0.0006638123701885667,0.019579663202821056,0.021806744397455384
Buffalo City,0.002425528196132153,0.002380009377603094,0.0019522837401135136,0.0014810375487986649,0.001345711909437742,0.001432079053031167,0.0009706436775975735,0.0009076381249099741
