municipality,2009,2010,2011,2012,2013,2014,2015,2016
Drakenstein,0.2182416987693732,0.21635915456619056,0.21768393243017692,0.19826770630836887,0.18967314037142896,0.1897109100975855,0.20858823066455956,0.19501558662574126
Ntabankulu,0.37840646697167113,0.3544079353908682,0.26552285138779136,0.2647237942549516,0.2630740406456675,0.21637345547203182,0.2635398252079416,0.18261599597076209
Tswelopele,0.2626952094930093,0.18167859963313848,0.31607789742566045,0.1926497870648912,0.2227896545882364,0.28319826196724357,0.2910270541268253,0.28315699811903944
Maruleng,0.3002730786465682,0.2953592903623348,0.34332496326436956,0.27491804224084493,0.2984687461961346,0.2573561003795805,0.15550931967274448,0.25164521239644266
uMuziwabantu,0.47751674503263075,0.2835862834730658,0.2933420739384801,0.26425093577761516,0.24234917600968395,0.21024260736916217,0.21720856048423998,0.22814235872010283
Umvoti,0.18655706155519194,0.18397783788862884,0.2030039703702956,0.23691006331342354,0.24926270991789082,0.2046942727692821,0.20231289099403416,0.2194258954782486
Intsika Yethu,0.29187287292594327,0.35279967056057343,0.33043348220236646,0.4502456169315874,0.40900764540426315,0.3806470283008357,0.4346399742189883,0.39497033712001756
Port St Johns,0.30966177051200283,0.2680126832455518,0.28245613599319047,0.2513565114468113,0.22716644921619356,0.33894520053564675,0.2508979381199802,0.28333213714411287
Matjhabeng,0.2525530795132416,0.25570511312481037,0.25391563570725134,0.3274298181570977,0.2840527019068595,0.2652388463469104,0.2977558996205684,0.31181510466892665
Kopanong,0.279383749783809,0.2674393187213477,0.29266749761195643,0.40772357969864226,0.36012557303510473,0.40700084680856674,0.4119904311738715,0.38562634790210004
Sakhisizwe,0.3136257451825465,0.25416306250789394,0.2195428238270452,0.3384502450796777,0.26226800098502984,0.30533541509520756,0.2546826819620224,0.2744202647200039
Umsobomvu,0.34129131475851204,0.24317854186271204,0.25184255978064124,0.17840430084312872,0.16693103903685125,0.18094823346435834,0.19555265537498343,0.1992959463546733
Makhuduthamaga,0.09574554705800001,0.09866543811938995,0.09505397124217972,0.1181577083144579,0.16307939472520522,0.15936910573155783,0.1458361164653695,0.1355901578707036
Emthanjeni,0.2784861776987086,0.29144207686658813,0.231527539737194,0.2386609610460423,0.2623299217487157,0.2537746830916437,0.2650531318622421,0.2832577165633223
Umzimkhulu,0.028337623133892726,0.16499802507359895,0.20300889832696473,0.1706327368700379,0.16955837330956444,0.19377437905286865,0.22778013602933583,0.2313336931182267
Sol Plaatjie,0.2571975374264203,0.24315178860365141,0.24468013711036196,0.2149348344913813,0.2037617202248004,0.21592403706517674,0.22312714666174002,0.2631815564652354
Mkhondo,0.28128206392031346,0.2214507722085244,0.2575885077988865,0.18482010018619618,0.26009131689675663,0.19495708463396305,0.21954578617520923,0.18400679805512124
Dikgatlong,0.3258103621762718,0.2503795237597043,0.17026592349286854,0.1641178116676938,0.18419288637877362,0.2543802804207371,0.33119448764977316,0.29195932106121486
George,0.1801223670841942,0.227133121325516,0.17510879673153376,0.1720859090122794,0.16706788663977784,0.1507316254907866,0.17773417397774402,0.17531548048234563
Mthonjaneni,0.21799448761607265,0.17331549600174495,0.16906700359269497,0.14151679768926242,0.1539237009820997,0.20009015832909685,0.21439552570203843,0.16691467595584084
Elundini,0.19840461955403965,0.3090620351921274,0.21296291709725743,0.36074503006161723,0.27160486382135957,0.20604708914867712,0.2520111889620503,0.2581111405830705
Impendle,0.22866803682230233,0.2651934305432637,0.326330395191233,0.29299226400200407,0.23792848913186448,0.2565803707884753,0.24279363755729405,0.2701026850767987
Gamagara,0.3543437377469989,0.27517190560583893,0,0.22980324463158883,0.2138803956433082,0.21590620560376653,0.1199885387030948,0.1299375012609096
Kouga,0.3255790542943915,0.28227406196894106,0.4776933838836343,0.3922255950879522,0.3867958802570172,0.38631226575260563,0.31667435979870445,0.3435479923321996
Greater Letaba,0.2135339297626853,0.15710156901566721,0.2452097060965295,0.21229630593871118,0.2285706530566478,0.23645875336068617,0.23478850975784943,0.18629519200621153
Renosterberg,0.5200929129662477,0.25864275557711613,0.18671159005134216,0.22431516853991249,0.21224055875956402,0.24742197919755454,0.203948934037253,0.20502359503545065
Abaqulusi,0.19996309489466868,0.2789778535628652,0.321626510571154,0.2411605041512132,0.23751394038080295,0.17789860378639233,0.22299883423911251,0.1495607986619103
Emakhazeni,0.23764049732264464,0.30792709531234563,0.3989149858997763,0.32786802812397536,0.3073167021200727,0.2433556650283788,0.3078172073931759,0.32625706037277613
Maquassi Hills,0.1961078442887218,0.20795525679517496,0.18640370229139827,0.16093769252856643,0.1342570520334387,0.12574950616319777,0.18133714913625262,0.1506414878203963
eThekwini,0.19902843451114158,0.2426641171980232,0.254752994663315,0.2925340257364573,0.24423830686944803,0.2604894475712002,0.24147240929064537,0.2548900437878839
Greater Taung,0.2783708470656922,0.22334697161246828,0.30913379334311136,0.15939335585325737,0.2562919086641463,0.19026143906299545,0.20216649924321503,0.22372387395634621
Ndlambe,0.3427294392664048,0.26073760359642134,0.31194726954679,0.32481117805567056,0.2665258317770272,0.32568146241081297,0.3138732678573639,0.39149060989305323
Saldanha Bay,0.25707298499694764,0.2617959701847592,0.2721284404132497,0.29533413816913323,0.310490968676596,0.31263850983533475,0.25107188114639817,0.2269398604738528
Dannhauser,0.288675989742868,0.22317314429273855,0.1843537254753205,0.26679888857311307,0.20970663620441016,0.13789575436436832,0.16192875091486672,0
Rustenburg,0.1259763516683452,0.06935819080263302,0.12538160873350795,0.13590760509879024,0.11000453157270675,0.11961819218846854,0.1282237189696211,0.13004782848077007
Engcobo,0.3051621263897479,0.15457144322431976,0.18339414804334997,0.13238128608452535,0.07366862265721036,0.36019389659225454,0.17851580907786602,0.20363214773574131
Mkhambathini,0.5835866917107088,0.40346809899401526,0.3250355044095447,0.3040613677202779,0.30296200521863725,0.33514970578037623,0.256855078639043,0.22618843097379332
Ephraim Mogale,0.7450527448310379,0.29063420534106654,0.25708979134074555,0.7868714350591708,0.2297371702949371,0.17605982101720402,0.19229533233252966,0.1346808722129355
Great Kei,0.20786986889735024,0.2998570126730213,0.26078145205800884,0.2788253382919227,0.2913358974693323,0.308467789033246,0.29207235850663926,0.31954298304605167
Nkandla,0.2622816845964838,0.290054976594469,0.1672367191747769,0.13154070600632906,0.10948539058836812,0.2302996804629436,0.18105336710481665,0.12858546219578748
Merafong City,0.25735752751604823,0.25649519598029225,0.25159512213767726,0.28087496319288313,0.15343146983953884,0.21546470774536566,0.19069848101189082,0.17800359989137263
Mhlontlo,0.3505826173971328,0.17502546418643394,0.2182249321906258,0.2531864206222294,0.29781863141901427,0.2241784662748765,0.32736618082043506,0.2929816229628901
Kamiesberg,0.3074729124232224,0.2746965134630239,0.2713452602288549,0.26669652113878245,0.1998999715903487,0.3688237662533406,0.30423571951384404,0.31328150401930643
Umzimvubu,0,0.19817400069600394,0.2043994483492256,0.2271839100746429,0.18144557609989775,0.16268528739509175,0.2139175230716975,0.19310334053015468
Emadlangeni,0.4312792263471745,0.28142319089287016,0.3574590383008957,0.30398005168377884,0.2369995584338418,0.21873875833544343,0.2052574954246791,0.20450201800609447
Dihlabeng,0.2846825452556481,0.27530256933456615,0.3082236479706999,0.27122914858749003,0.2644023091991351,0.25974654820007753,0.26332250022883846,0.2918977184694011
Moretele,0.15007832690698947,0.1714573935917838,0.11987113717059891,0.16496314660302722,0.1503536177275676,0.15897851982860872,0.13428595765730925,0.1532771543831412
Makhado,0.2047724111098784,0.3675064172724838,0.3176562729774893,0.3164422102045961,0.3325469958155604,0.29572736085107165,0.27661761819480885,0.268561981832728
Thaba Chweu,0.27795640516196757,0.32580390489913313,0.29949856050904494,0.23909193603181203,0.2869254299442356,0.23756518914220032,0.19684785143572983,0.24432649169414886
Umdoni,0.26165531973965345,0.22374380892877493,0.2094234282827601,0.3055469017813216,0.3669819396644584,0.3296201007235026,0.36879351013136286,0.2901100306333832
Ndwedwe,0.24156573587570226,0.24164715792836094,0.21422257850059181,0.21799511644916442,0.20572670428378298,0.1361019517690263,0.16169928083619883,0.15267700419520105
Siyancuma,0.2607232736443226,0.21369974627437838,0.19415348753035247,0.30328590940219907,0.27187632088493896,0.2956193407590324,0.279461624770845,0.2728038078669354
Buffalo City,0.19393774245354614,0.18740587179823115,0.18974970141405148,0.21555234572663573,0.1835682140948655,0.1804866410938648,0.18335987379002638,0.1942260060475875
Naledi,0.20966264333734724,0.2880185349776795,0.31179207041574336,0.28346021612695615,0.340727047547861,0.38463938813130527,0.38783588963981164,0.40762025420652104
Richtersveld,0.2448733940188266,0.25545068769844625,0.2315546761976226,0.19407965815257122,0.22685142730098898,0.31012626088494843,0.2889018978273007,0.34247856886852635
Thulamela,0.2996785047976634,0.20246129584391837,0.17687377915939867,0.13489737922294942,0.17133936016501825,0.288272793280292,0.2455456575736325,0.1579519744331306
Metsimaholo,0.275627483104652,0.2651772737037611,0.22679920134355994,0.22803245314320675,0.215618456270574,0.2105065302328809,0.15157113313548645,0.20407342837814627
Mangaung,0.2576468233603693,0.2112398393946848,0.1960017054120841,0.17622744005251167,0.16088853323804092,0.16006371800558492,0.19712531326373456,0.2143919944059837
Cederberg,0.3276241702348936,0.315750227082104,0.2739505805299196,0.3238335704525134,0.29178272944560185,0.32727237867869,0.2822540221873908,0.2823582703848591
Masilonyana,0.29446955632875743,0.35264896948807034,0.2591574602563389,0.3333533019830439,0.21306120582483465,0.2656366771900071,0.18951836352002285,0.2976817302416527
Witzenberg,0.17196591583242843,0.18994343753284693,0.19005007481135244,0.19149182651164584,0.1740425555319754,0.18372631858035898,0.18551637390966585,0.1826861156100337
Ba-Phalaborwa,0.17268923396679686,0.18255534366338505,0.1625714275129839,0.24229150745194683,0.24835197246945287,0.2146377402286816,0.29884380413810685,0.23051882208795493
Mamusa,0.3192184956252937,0.14335175867298525,0.16823590856998202,0.14954579421502273,0.13109919261685232,0.16534266349145899,0.14605114046824494,0.16846963881445587
Kannaland,0.0675542995188625,0.2796002908309982,0.31671577808332024,0.287629540483065,0.2780307537853058,0.2844525161513063,0.299171049723955,0.29652370837780934
Theewaterskloof,0.24041703202740372,0.2423938820221639,0.25956086466002526,0.2623024391197559,0.2125863020150862,0.20870759729424418,0.2297567003243783,0.22457298444874196
Jozini,0.31082698483936344,0.231788754773915,0.21353698671941826,0.17254644577862596,0.20367635265938994,0.29597897931845324,0.24473140072505678,0.20924368162911358
City of Matlosana,0.17346934851618875,0.2250503835686074,0.22916009284214306,0.30467881151769177,0.2842271003315497,0.2570030200999663,0.25387352190266776,0.21606604690709647
Ngquza Hill,0.6265389239165062,0.36684235710883545,0.6811722325713802,0.268563908860489,0.40802918023165585,0.2966630823354188,0.27819784379584267,0.27063946369793657
Maluti a Phofung,0.15482209325675683,0.18644994974737458,0.13740004113790266,0.10161133317194335,0.16348279777962163,0.2625189577115756,0.17112810785483148,0.25979551251945115
Kareeberg,0.12412500980111811,0.2083124368672202,0.16293459182022335,0.1637061085454836,0.17213703963246252,0.1976160839605323,0.2306438111861371,0.2258489021852583
Bitou,0.30759991776458123,0.305783869614347,0.3078126213760469,0.24324963055885773,0.207389459428803,0.2031675607554874,0.1962373646917475,0.21237877913525205
City of Johannesburg,0.24960233635859233,0.2269511341540067,0.2168297733043209,0.20082856001299107,0.21212627891705782,0.20603568381280904,0.18839346532118317,0.2023343228346455
Amahlathi,0.2852395659411858,0.2852395659411858,0.26994565964799283,0.22395524219426677,0.19912514330536257,0.2076418780802853,0.32311220885873837,0.26850260460028713
Lekwa-Teemane,0.22940885445814363,0.23511169646494015,0.24835015532030721,0.1869249711367499,0.15152779506395947,0.14775189611609657,0.16358410252030678,0.14382753819357091
Mnquma,0.44646855330393276,0.4206751226390271,0.34218572940922426,0.4030212046840563,0.2682231183363486,0.3406466292575734,0.33553242342750533,0.36407687367649494
Umzumbe,0.1821234313941447,0.1657445351202411,0.1611009112113251,0.19386052053073743,0.15921130652171686,0.17911269741410982,0.17118368020680608,0.16611445967532001
Nala,0.23032288563949307,0.2610086630415933,0.25461779489330383,0.3006274145185872,0.32459702235202365,0.30838345984651155,0.33072177894378235,0.35974466470859146
Nketoana,0.107127062078101,0.15349002304370435,0.1546592576713714,0.14844802788120115,0.1525165970208384,0.2527066398947456,0.15809118603909436,0.23000692084381383
Richmond,0.3116197267883967,0.22380297877427535,0.23267300100509242,0.269890295687043,0.2596052701630327,0.23862431057268374,0.228363128795943,0.22270612673227233
Endumeni,0.40094353682610767,0.3647993221223212,0.3499884916541737,0.3268875171394262,0.3009031512029764,0.2975039200301924,0.27152345798869576,0.27899783903204367
Tsantsabane,0.29844523646182114,0.24603281078815858,0.26755835117271476,0.08379507203148732,0.2463927975103453,0.2297294109910936,0.29270823157007486,0.3610477951504196
Maphumulo,0.21946081920044586,0.18460598303099343,0.21342688315471428,0.1868485730720164,0.15600998723361736,0.1733395497116863,0.22480466609882307,0.19935549158419183
Swellendam,0.2654386104803586,0.259132049772422,0.16759709651242524,0.19439485203026802,0.1985188115144008,0.21081480752840623,0.16944319781313433,0.17450461052214833
Sundays River Valley,0.10008397463932896,0.08682084368782608,0.17795776050043127,0.20171517186732751,0.2093728360341937,0.2292618276991199,0.16039250206301983,0.21778054568156086
Karoo Hoogland,0.4158626284936716,0.4140932632478465,0.2977768196616467,0.30421590462483383,0.3662615675235777,0.35801316153721896,0.34853384639540014,0.3313787497217389
Dr JS Moroka,0.20242245203651366,0.21657148316209907,0.23570227269344685,0.2277963035862081,0.24822068493833846,0.23620148148928982,0.2481394615854038,0.2655026783388964
Swartland,0.23081013556848223,0.22730003137099425,0.23434494088726535,0.25124505797419483,0.25274777973176354,0.21680755003425922,0.21061613930373282,0.21362704486498277
Blouberg,0.34153905658480727,0.24909012927907712,0.3059153483390993,0.1939221910951812,0.28286433885314116,0.31173892511535056,0.2738140413244116,0.23286990039576677
Bela-Bela,0.28072819057022563,0.31544874274943685,0.47251366561236124,0.28221884146214943,0.29546813164961233,0.24226684794660958,0.32580126366448203,0.326136459964665
Mogale City,0.23853673873427161,0.22177309286187363,0.2198632837448653,0.1859517316353008,0.19764923144230018,0.1904097870565561,0.19720226657563672,0.184632731059972
Knysna,0.191370514469259,0.1738923604283287,0.1736069251361287,0.17916901354263523,0.18701671559448935,0.20467923942507082,0.2020962529729467,0.19128988679155814
Lephalale,0.2624348202853505,0.20318782438491884,0.2674722321835,0.23501267768326872,0.24840940554468285,0.2340342393194139,0.2048467797220646,0.27495478001835255
Bushbuckridge,0.24050512714129482,0.26474077032533117,0.2109798426447287,0.21372681469870927,0.18214408736588292,0.19884131996205395,0.2515881210617062,0.23096025576029727
City of Cape Town,0.16328789915739483,0.16771859312003765,0.16331386349667545,0.16039090021981212,0.15575585195450758,0.15463654914053354,0.15668535378632473,0.15271451128508648
Ubuntu,0.16839694137055336,0.21947886197024305,0.2973309907317375,0.21742980236917311,0.23226537684438675,0.1711151881497396,0.22091709520059585,0.2929633063492962
Greater Tzaneen,0.2856762435988618,0.22145365415229992,0.21178486326650556,0.1868379894271313,0.21820195563866768,0.2135633471650781,0.22509948086803028,0.19516996925277488
Newcastle,0.09977684117409369,0.11974422348718002,0.16787129285326513,0.16025284452379077,0.18296067373065414,0.23692182383379196,0.24070970372453238,0.2972584493685238
Inxuba Yethemba,0,0.3335134655698587,0.23546074025820551,0.2184093333543618,0.423390492557419,0.2950160219606348,0.31561985512537716,0.34345024475766456
Ga-Segonyana,0.32786673764255203,0.2776566400602961,0.18396592580343205,0.17392756551210062,0.13577540851013664,0.1421065603169047,0.15399428698704606,0.14985852562481017
Ngwathe,0.20943301513579124,0.1829359906879403,0.2899878761058872,0.2515461580120569,0.28794275440740186,0.2833144032813328,0.19605003036242424,0.25578706304830473
Local Municipality of Madibeng,0.16191120699909803,0.16500531093613116,0.2592009555989045,0.24569052143275308,0.21077692116619484,0.17989450095201254,0.2011757435885282,0.20246081449448314
Mpofana,0.1952736734920084,0.18026323186490645,0.19153409093321683,0.15924255958850958,0.1921197152734703,0.20615242080193757,0.24880354107376187,0.23024062704221096
Msinga,0.13448429677836143,0.12937805656290233,0.1138561619783088,0.12692244976331682,0.14188224673129143,0.0960240029086314,0.14424812333357667,0.18198762708430352
Okhahlamba,0.19652261592197617,0.2888543338765337,0.28200218110655106,0.2349419783063127,0.22263006269236077,0.24008389427949386,0.2416399017272371,0.23325587733464695
Lepele-Nkumpi,0.11094143456905611,0.11006922142991155,0.08677501267620007,0.1190041073639502,0.1663206033326638,0.208602323113331,0.19970162587826115,0.1677988864924788
Laingsburg,0.36619505539023217,0.36619505539023217,0.3755679217827802,0.14594822977850233,0.21829236892946613,0.156690794318432,0.1453886729715806,0.1682054701548875
uMshwathi,0.2373654674963359,0.25207666198119794,0.323315673143657,0.2860886059205979,0.28047483697373726,0.3042953212929448,0.29769384283606204,0.30376151949640917
Moses Kotane,0.17906712224621282,0.20929544373557046,0.19300588337850516,0.14505492826417268,0.13238280788184945,0.1578018996761045,0.16231240945712386,0.16967739739293566
Tswaing,0.32042104781290554,0.43535440486970844,0.4642152602335041,0.3555560884837432,0.31541702990941983,0.2697496765654745,0.2630184328155471,0.2993853625345688
Beaufort West,0.20436178857215187,0.2103326797601551,0.23349288390003767,0.23887722489044472,0.2124584273542618,0.22895448701240217,0.21455550618214253,0.22627515962502334
The Msunduzi,0.21076641810936897,0.25060634711096497,0.18817260516937198,0.15531100236208353,0.13397311204976992,0.19838051199019213,0.19830589942812443,0.21857527941477348
Joe Morolong,0.14868858226879728,0.21271582536000308,0.1500713679531056,0.18712161440079417,0.09838447400851333,0.14635751749017492,0.13095292710792622,0.13245283032097185
Mfolozi,0.39534610774311807,0.21548036192302927,0.23735569373300563,0.24462526621200784,0.17753121515065123,0.1607563204053309,0.11170292309915261,0.1450363210661606
Emfuleni,0.1728495318940167,0.1739726317964083,0.1738873609067157,0.17285852925721323,0.14335323870342812,0.13985817185936814,0.13943890002766807,0.17477174104042573
eDumbe,0.3844886512525846,0.2952816670232856,0.29987196337373456,0.2751184423167793,0.25029529659000477,0.29831957139902754,0.29831957139902754,0.2719014760318846
Hessequa,0.1825915140544172,0.17375663330760344,0.24739763296924136,0.2509257851058121,0.278543901821864,0.24491487173979637,0.24656629439428396,0.23009996243093242
Ubuhlebezwe,0.20206791441489255,0.15410191656298733,0.21360119109412842,0.21080108271778633,0.2156738837922823,0.23654208299564305,0.22116221887644896,0.21573077374542848
Phumelela,0.26870839046645667,0.20475921714028977,0.1731774586672815,0.19529182504558035,0.2583348853600583,0.260236702096354,0.25231046917623273,0.2927094324700518
Umhlabuyalingana,0.2806203848949484,0.1713986779641206,0.16840192638814688,0.09502110407488928,0.10647767497513518,0.15851179831905546,0.15326555033087025,0.12943307646159877
Nqutu,0.3808117203698362,0.2253518460209016,0.20855213071507134,0.14771655686276927,0.15080807864182436,0.1590233364391961,0.17923321125465158,0.1479418565154564
Ulundi,0.2195709114188118,0.10720264108698237,0.3225457775214305,0.34453208693510495,0.1775333287055634,0.1945593207112321,0.22692809267428624,0.19858258022522446
Khâi-Ma,0.11927123162421652,0.20849726793584458,0.12013316395853217,0.1859554137881542,0.2164819627328383,0.17186178327363635,0.1890238464581103,0.24302764513727734
Ratlou,0.22840489490408153,0.21775058958445842,0.24087398852752004,0.2759076298253403,0.30675968647647406,0.16613695185339952,0.2029440021158406,0.30203818232545704
